metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,13.06491470336914,13.596701622009277,14.045409202575684,14.383886337280273,14.647089958190918,15.014466285705566,15.24605941772461,15.508699417114258,15.789631843566895,15.994463920593262,16.23489761352539,16.59980583190918,15.010502179463705
mape,8.615777015686035,8.897072792053223,9.117386817932129,9.29142951965332,9.559306144714355,9.745607376098633,9.977206230163574,10.046619415283203,10.24892520904541,10.435606956481934,10.797308921813965,10.789450645446777,9.793474753697714
rmse,20.287250518798828,21.364757537841797,22.258441925048828,22.901168823242188,23.448646545410156,24.066179275512695,24.554609298706055,24.999805450439453,25.402917861938477,25.723642349243164,26.057266235351562,26.534229278564453,23.966576258341473
