metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,12.75916862487793,13.727428436279297,14.399703025817871,14.910130500793457,15.32216739654541,15.716784477233887,16.125526428222656,16.503665924072266,16.817893981933594,17.133333206176758,17.490924835205078,17.958826065063477,15.73879607518514
mape,12.888510704040527,13.681787490844727,14.195409774780273,14.660255432128906,15.04675006866455,15.405357360839844,15.760196685791016,16.05790901184082,16.341825485229492,16.6647891998291,17.058963775634766,17.569210052490234,15.444247086842855
rmse,21.724971771240234,23.43108558654785,24.580129623413086,25.475175857543945,26.137086868286133,26.79302978515625,27.44368553161621,28.033802032470703,28.53925895690918,28.997705459594727,29.499114990234375,30.14022445678711,26.73293924331665
