metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,17.593608856201172,18.65976333618164,19.450443267822266,20.050390243530273,20.57438087463379,21.092958450317383,21.62942123413086,22.128822326660156,22.57571029663086,22.991186141967773,23.497953414916992,24.113239288330078,21.196489810943604
mape,11.92667293548584,12.612229347229004,13.083837509155273,13.465550422668457,13.78497314453125,14.124274253845215,14.482879638671875,14.788629531860352,15.073100090026855,15.38825511932373,15.785604476928711,16.207563400268555,14.226964155832926
rmse,28.046375274658203,29.642669677734375,30.828479766845703,31.760089874267578,32.58600616455078,33.38950729370117,34.214561462402344,34.9869499206543,35.71883010864258,36.40507507324219,37.1882438659668,38.12064743041992,33.573952992757164
