metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,12.860800743103027,13.471198081970215,14.047343254089355,14.496180534362793,14.892516136169434,15.162948608398438,15.413561820983887,15.687142372131348,15.959424018859863,16.15349769592285,16.333911895751953,16.62339210510254,15.091826438903809
mape,13.357427597045898,13.233144760131836,14.34582805633545,14.265362739562988,14.725557327270508,14.435644149780273,14.491705894470215,15.099397659301758,14.826591491699219,15.553760528564453,15.105141639709473,17.1564884185791,14.716337521870932
rmse,22.583532333374023,23.80658721923828,24.89712905883789,25.74764060974121,26.425535202026367,26.901586532592773,27.273630142211914,27.68572998046875,28.075735092163086,28.376911163330078,28.624841690063477,28.930688858032227,26.610795656840008
