metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,13.035788536071777,13.68053913116455,14.16635513305664,14.503978729248047,14.775328636169434,15.038286209106445,15.311213493347168,15.55456256866455,15.783833503723145,15.926885604858398,16.141511917114258,16.443584442138672,15.030155658721924
mape,8.5286226272583,9.018202781677246,9.25548267364502,9.414916038513184,9.477706909179688,9.644155502319336,9.958212852478027,10.120280265808105,10.688139915466309,10.380258560180664,10.56853199005127,10.748147010803223,9.816888093948364
rmse,20.165536880493164,21.39334487915039,22.310699462890625,23.053861618041992,23.67704963684082,24.227712631225586,24.74732208251953,25.196762084960938,25.55545997619629,25.856128692626953,26.204421997070312,26.609861373901367,24.083180109659832
