metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,13.388544082641602,14.341900825500488,14.975171089172363,15.434759140014648,15.859214782714844,16.28497314453125,16.719600677490234,17.125511169433594,17.475202560424805,17.797069549560547,18.191070556640625,18.72758674621582,16.360050360361736
mape,8.961099624633789,9.488524436950684,9.783448219299316,10.061983108520508,10.326502799987793,10.622328758239746,10.907134056091309,11.127699851989746,11.356888771057129,11.545700073242188,11.812051773071289,12.162131309509277,10.679624398549398
rmse,20.63053321838379,22.24309730529785,23.371305465698242,24.247711181640625,25.01290512084961,25.759641647338867,26.48382568359375,27.13495445251465,27.676170349121094,28.183252334594727,28.800350189208984,29.568864822387695,25.759384314219158
