metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,17.377761840820312,17.839574813842773,18.241304397583008,18.583799362182617,18.828031539916992,19.051000595092773,19.28524398803711,19.481536865234375,19.68303680419922,19.84282875061035,20.043094635009766,20.29561424255371,19.046068986256916
mape,11.738919258117676,11.948348045349121,12.271484375,13.006205558776855,12.796852111816406,12.727874755859375,12.924478530883789,13.136783599853516,13.458175659179688,13.755607604980469,13.524469375610352,13.667511940002441,12.91305923461914
rmse,28.196434020996094,29.00487518310547,29.847097396850586,30.479265213012695,30.93684196472168,31.453689575195312,31.859922409057617,32.23234176635742,32.55418014526367,32.77729415893555,33.07126998901367,33.46882247924805,31.323502858479817
