metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,17.16438865661621,17.730209350585938,18.17162322998047,18.46462059020996,18.701974868774414,18.910869598388672,19.089021682739258,19.264404296875,19.446334838867188,19.608610153198242,19.830230712890625,20.138675689697266,18.876746972401936
mape,11.54350757598877,12.090533256530762,12.326367378234863,12.399436950683594,12.544168472290039,12.67681884765625,12.860952377319336,13.06457233428955,13.168181419372559,13.372623443603516,13.498990058898926,13.782734870910645,12.777407248814901
rmse,27.361650466918945,28.364408493041992,29.09885025024414,29.592512130737305,30.000919342041016,30.348255157470703,30.68788719177246,31.000349044799805,31.29275894165039,31.53841781616211,31.864171981811523,32.27703094482422,30.285600980122883
