metric,1,2,3,4,5,6,7,8,9,10,11,12,average
mae,12.634342193603516,13.300284385681152,13.876245498657227,14.253129959106445,14.537617683410645,14.83596420288086,15.157756805419922,15.44963550567627,15.68969440460205,15.91950511932373,16.095470428466797,16.350427627563477,14.841672817866007
mape,12.779036521911621,13.175666809082031,13.606955528259277,13.851101875305176,13.952784538269043,14.031050682067871,14.210827827453613,14.428923606872559,14.68090534210205,14.8207368850708,14.978757858276367,15.306893348693848,14.151970068613688
rmse,19.922550201416016,21.55495834350586,22.89750099182129,23.83061408996582,24.548675537109375,25.217702865600586,25.849346160888672,26.379606246948242,26.777172088623047,27.103195190429688,27.44948387145996,27.869306564331055,24.9500093460083
